ก.	k-@@-z^-0|
ศาสดา	s-aa-t^-1|s-a-z^-1|d-aa-z^-0|
ศาสตร์	s-aa-t^-1|
ศาสนจักร	s-aa-t^-1|s-a-z^-1|n-a-z^-3|c-a-k^-1|
ศาสนสถาน	s-aa-t^-1|s-a-z^-1|n-a-z^-3|s-a-z^-1|th-aa-n^-4|
ศาสนา	s-aa-t^-1|s-a-z^-1|n-aa-z^-4|
ศิรินวกุล	s-i-z^-1|r-i-z^-1|n-a-z^-3|w-a-z^-3|k-u-n^-0|
ศิลปกรรม	s-i-n^-4|l-a-z^-3|p-a-z^-1|k-a-m^-0|
ศิลปวัฒนธรรม	s-i-n^-4|l-a-z^-3|p-a-z^-1|w-a-t^-3|th-a-z^-3|n-a-z^-3|th-a-m^-0|
ศิลปวัตถุ	s-i-n^-4|l-a-z^-3|p-a-z^-1|w-a-t^-3|th-u-z^-1|
ศิลปวิทยา	s-i-n^-4|l-a-z^-3|p-a-z^-1|w-i-t^-3|th-a-z^-3|j-aa-z^-0|
ศิลปหัตถกรรม	s-i-n^-4|l-a-z^-3|p-a-z^-1|h-a-t^-1|th-a-z^-1|k-a-m^-0|
ศิลปะ	s-i-n^-4|l-a-z^-3|p-a-z^-1|
ศิลปากร	s-i-n^-4|l-a-z^-3|p-aa-z^-0|k-@@-n^-0|
ศิลปิน	s-i-n^-4|l-a-z^-3|p-i-n^-0|
ศิลป์	s-i-n^-4|
ศิลาจารึก	s-i-z^-1|l-aa-z^-0|c-aa-z^-0|r-v-k^-3|
ศิลาอ่อน	s-i-z^-1|l-aa-z^-0|z-@@-n^-1|
ศิวลึงค์	s-i-z^-1|w-a-z^-3|l-v-ng^-0|
ศิษย์	s-i-t^-1|
ศีรษะ	s-ii-z^-4|s-a-z^-1|
ศีล	s-ii-n^-4|
ศีลธรรม	s-ii-n^-4|l-a-z^-3|th-a-m^-0|
ศึก	s-v-k^-1|
ศึกษา	s-v-k^-1|s-aa-z^-4|
ศึกษาธิการ	s-v-k^-1|s-aa-z^-4|th-i-z^-3|k-aa-n^-0|
ศุกร์	s-u-k^-1|
ศูนย์	s-uu-n^-4|
ศูนย์กลาง	s-uu-n^-4|kl-aa-ng^-0|
ส.ส.	s-@@-z^-4|s-@@-z^-4|
ส.ส.	s-@@-z^4|s-@@-z^-4|
สกปรก	s-o-k^-1|k-a-z^-1|pr-o-k^-1|
สกัด	s-a-z^-1|k-a-t^-1|
สกุล	s-a-z^-1|k-u-n^-0|
สงขลา	s-o-ng^-4|khl-aa-z^-4|
สงคราม	s-o-ng^-4|khr-aa-m^-0|
สงครามโลก	s-o-ng^-4|khr-aa-m^-0|l-oo-k^-2|
สงฆ์	s-o-ng^-4|
สงบ	s-a-z^-1|ng-o-p^-1|
สงบสุข	s-a-z^-1|ng-o-p^-1|s-u-k^-1|
สงสัย	s-o-ng^-4|s-a-j^-4|
สงสาร	s-o-ng^-4|s-aa-n^-4|
สงเคราะห์	s-o-ng^-4|khr-@-z^-3|
สง่า	s-a-z^-1|ng-aa-z^-1|
สด	s-o-t^-1|
สดชื่น	s-o-t^-1|ch-vv-n^-2|
สตรี	s-a-t^-1|tr-ii-z^-0|
สตัฟฟ์	s-a-z^-1|t-a-p^-3|
สติ	s-a-z^-1|t-i-z^-1|
สติปัญญา	s-a-z^-1|t-i-z^-1|p-a-n^-0|j-aa-z^-0|
สถาน	s-a-z^-1|th-aa-n^-4|
สถานการณ์	s-a-z^-1|th-aa-z^-4|n-a-z^-3|k-aa-n^-0|
สถานที่	s-a-z^-1|th-aa-n^-4|th-ii-z^-2|
สถานภาพ	s-a-z^-1|th-aa-z^-4|n-a-z^-3|ph-aa-p^-2|
สถานะ	s-a-z^-1|th-aa-z^-4|n-a-z^-3|
สถานี	s-a-z^-1|th-aa-z^-4|n-ii-z^-0|
สถาบัน	s-a-z^-1|th-aa-z^-4|b-a-n^-0|
สถาปนา	s-a-z^-1|th-aa-z^-4|p-a-z^-1|n-aa-z^-0|
สถาปัตยกรรม	s-a-z^-1|th-aa-z^-4|p-a-t^-1|t-a-z^-1|j-a-z^-3|k-a-m^-0|
สถิติ	s-a-z^-1|th-i-z^-1|t-i-z^-1|
สถูป	s-a-z^-1|th-uu-p^-1|
สนทนา	s-o-n^-4|th-a-z^-3|n-aa-z^-0|
สนอง	s-a-z^-1|n-@@-ng^-4|
สนองตอบ	s-a-z^-1|n-@@-ng^-4|t-@@-p^-1|
สนับสนุน	s-a-z^-1|n-a-p^-1|s-a-z^-1|n-u-n^-4|
สนั่น	s-a-z^-1|n-a-n^-1|
สนาม	s-a-z^-1|n-aa-m^-4|
สนามรบ	s-a-z^-1|n-aa-m^-4|r-o-p^-3|
สนิท	s-a-z^-1|n-i-t^-1|
สนิทสนม	s-a-z^-1|n-i-t^-1|s-a-z^-1|n-o-m^-4|
สนุก	s-a-z^-1|n-u-k^-1|
สนุกสนาน	s-a-z^-1|n-u-k^-1|s-a-z^-1|n-aa-n^-4|
สนเทศ	s-o-n^-4|th-ee-t^-2|
สนใจ	s-o-n^-4|c-a-j^-0|
สบถ	s-a-z^-1|b-o-t^-1|
สบาย	s-a-z^-1|b-aa-j^-0|
สบายใจ	s-a-z^-1|b-aa-j^-0|c-a-j^-0|
สภา	s-a-z^-1|ph-aa-z^-0|
สภาพ	s-a-z^-1|ph-aa-p^-2|
สภาพการณ์	s-a-z^-1|ph-aa-p^-2|k-aa-n^-0|
สภาพแวดล้อม	s-a-z^-1|ph-aa-p^-2|w-xx-t^-2|l-@@-m^-3|
สภาวการณ์	s-a-z^-1|ph-aa-z^-0|w-a-z^-3|k-aa-n^-0|
สภาวะ	s-a-z^-1|ph-aa-z^-0|w-a-z^-3|
สม	s-o-m^-4|
สมควร	s-o-m^-4|kh-uua-n^-0|
สมจริง	s-o-m^-4|c-i-ng^-0|
สมชัย	s-o-m^-4|ch-a-j^-0|
สมณศักดิ์	s-a-z^-1|m-a-z^-3|n-a-z^-3|s-a-k^-1|
สมดุล	s-o-m^-4|d-u-n^-0|
สมดุลยภาพ	s-o-m^-4|d-u-n^-0|j-a-z^-3|ph-aa-p^-2|
สมดุลย์	s-o-m^-4|d-u-n^-0|
สมถะ	s-a-z^-1|m-a-z^-3|th-a-z^-1|
สมทบ	s-o-m^-4|th-o-p^-3|
สมบัติ	s-o-m^-4|b-a-t^-1|
สมบูรณาญาสิทธิราชย์	s-o-m^-4|b-uu-z^-0|r-a-z^-3|n-aa-z^-0|j-aa-z^-0|s-i-t^-1|th-i-z^-3|r-aa-t^-2|
สมบูรณ์	s-o-m^-4|b-uu-n^-0|
สมประกอบ	s-o-m^-4|pr-a-z^-1|k-@@-p^-1|
สมภาร	s-o-m^-4|ph-aa-n^-0|
สมมุติ	s-o-m^-4|m-u-t^-3|
สมรรถนะ	s-a-z^-1|m-a-t^-3|th-a-z^-1|n-a-z^-3|
สมรรถภาพ	s-a-z^-1|m-a-t^-1|th-a-z^-1|ph-aa-p^-2|
สมรส	s-o-m^-4|r-o-t^-3|
สมศรี	s-o-m^-4|s-ii-z^-4|
สมอง	s-a-z^-1|m-@@-ng^-4|
สมอเรียง	s-a-z^-1|m-@@-z^-4|r-iia-ng^-0|
สมัคร	s-a-z^-1|m-a-k^-1|
สมัครใจ	s-a-z^-1|m-a-k^-1|c-a-j^-0|
สมัย	s-a-z^-1|m-a-j^-4|
สมัยก่อน	s-a-z^-1|m-a-j^-4|k-@@-n^-1|
สมาคม	s-a-z^-1|m-aa-z^-0|kh-o-m^-0|
สมาชิก	s-a-z^-1|m-aa-z^-0|ch-i-k^-3|
สมาชิกภาพ	s-a-z^-1|m-aa-z^-0|ch-i-k^-3|k-a-z^-1|ph-aa-p^-2|
สมาธิ	s-a-z^-1|m-aa-z^-0|th-i-z^-3|
สมาน	s-a-z^-1|m-aa-n^-4|
สมุด	s-a-z^-1|m-u-t^-1|
สมุน	s-a-z^-1|m-u-n^-4|
สมุย	s-a-z^-1|m-u-j^-4|
สมเด็จ	s-o-m^-4|d-e-t^-1|
สมเหตุสมผล	s-o-m^-4|h-ee-t^-1|s-o-m^-4|ph-o-n^-4|
สม่ำเสมอ	s-a-z^-1|m-a-m^-1|s-a-z^-1|m-qq-z^-4|
สยาม	s-a-z^-1|j-aa-m^-4|
สรง	s-o-ng^-4|
สรงน้ำ	s-o-ng^-4|n-aa-m^-3|
สรณะ	s-a-z^-1|r-a-z^-3|n-a-z^-3|
สรรค์	s-a-n^-4|
สรรพสิ่ง	s-a-p^-1|ph-a-z^-3|s-i-ng^-1|
สรรหา	s-a-n^-4|h-aa-z^-4|
สระ	s-a-z^-1|r-a-z^-1|
สรีระ	s-a-z^-1|r-ii-z^-0|r-a-z^-3|
สรุป	s-a-z^-1|r-u-p^-1|
สรุป	s-a-z^-1|r-u-p^-3|
สร้าง	s-aa-ng^-2|
สร้างสม	s-aa-ng^-2|s-o-m^-4|
สร้างสรรค์	s-aa-ng^-2|s-a-n^-4|
สฤษดิ์	s-a-z^-1|r-i-t^-1|
สละ	s-a-z^-1|l-a-z^-1|
สลักสำคัญ	s-a-z^-1|l-a-k^-1|s-a-m^-4|kh-a-n^-0|
สลับ	s-a-z^-1|l-a-p^-1|
สลับ	s-a-z^-1|l-a-p^-3|
สลัม	s-a-z^-1|l-a-m^-0|
สลาย	s-a-z^-1|l-aa-j^-4|
สวน	s-uua-n^-4|
สวนทาง	s-uua-n^-4|th-aa-ng^-0|
สวย	s-uua-j^-4|
สวยงาม	s-uua-j^-4|ng-aa-m^-0|
สวรรค์	s-a-z^-1|w-a-n^-4|
สวัสดิการ	s-a-z^-1|w-a-t^-1|d-i-z^-1|k-aa-n^-0|
สวัสดิภาพ	s-a-z^-1|w-a-t^-1|d-i-z^-1|ph-aa-p^-2|
สวัสดิ์	s-a-z^-1|w-a-t^-1|
สวีเดน	s-a-z^-1|w-ii-z^-0|d-e-n^-0|
สว่าง	s-a-z^-1|w-aa-ng^-1|
สหกรณ์	s-a-z^-1|h-a-z^-1|k-@@-n^-0|
สหประชาชาติ	s-a-z^-1|h-a-z^-1|pr-a-z^-1|ch-aa-z^-0|ch-aa-t^-2|
สหพันธ์	s-a-z^-1|h-a-z^-1|ph-a-n^-0|
สหภาพ	s-a-z^-1|h-a-z^-1|ph-aa-p^-2|
สหภาพโซเวียต	s-a-z^-1|h-a-z^-1|ph-aa-p^-2|s-oo-z^-0|w-iia-t^-2|
สหรัฐ	s-a-z^-1|h-a-z^-1|r-a-t^-3|
สหรัฐอเมริกา	s-a-z^-1|h-a-z^-1|r-a-t^-3|z-a-z^-1|m-ee-z^-0|r-i-z^-3|k-aa-z^-0|
สหวิทยาลัย	s-a-z^-1|h-a-z^-1|w-i-t^-3|th-a-z^-3|j-aa-z^-0|l-a-j^-0|
สหอาชีวะ	s-a-z^-1|h-a-z^-1|z-aa-z^-0|ch-ii-z^-0|w-a-z^-3|
สอง	s-@@-ng^-4|
สอดคล้อง	s-@@-t^-1|khl-@@-ng^-3|
สอดส่อง	s-@@-t^-1|s-@@-ng^-1|
สอดแทรก	s-@@-t^-1|s-xx-k^-2|
สอน	s-@@-n^-4|
สอบ	s-@@-p^-1|
สอบถาม	s-@@-p^-1|th-aa-m^-4|
สอบสวน	s-@@-p^-1|s-uua-n^-4|
สอบไล่	s-@@-p^-1|l-a-j^-2|
สะกด	s-a-z^-1|k-o-t^-1|
สะดวก	s-a-z^-1|d-uua-k^-1|
สะดุด	s-a-z^-1|d-u-t^-1|
สะท้อน	s-a-z^-1|th-@@-n^-3|
สะบั้น	s-a-z^-1|b-a-n^-2|
สะสม	s-a-z^-1|s-o-m^-4|
สะสาง	s-a-z^-1|s-aa-ng^-4|
สะอาด	s-a-z^-1|z-aa-t^-1|
สะเทือน	s-a-z^-1|th-vva-n^-0|
สัก	s-a-k^-1|
สังกัด	s-a-ng^-4|k-a-t^-1|
สังคม	s-a-ng^-4|kh-o-m^-0|
สังคมนิยม	s-a-ng^-4|kh-o-m^-0|n-i-z^-3|j-o-m^-0|
สังคมวิทยา	s-a-ng^-4|kh-o-m^-0|w-i-t^-3|th-a-z^-3|j-aa-z^-0|
สังคมศาสตร์	s-a-ng^-4|kh-o-m^-0|s-aa-t^-1|
สังฆาธิการ	s-a-ng^-4|kh-aa-z^-0|th-i-z^-3|k-aa-n^-0|
สังสรรค์	s-a-ng^-4|s-a-n^-4|
สังหาร	s-a-ng^-4|h-aa-n^-4|
สังเกต	s-a-ng^-4|k-ee-t^-1|
สังเกตการณ์	s-a-ng^-4|k-ee-t^-1|k-aa-n^-0|
สังเขป	s-a-ng^-4|kh-ee-p^-1|
สังเคราะห์	s-a-ng^-4|khr-@-z^-3|
สัจจะ	s-a-t^-1|c-a-z^-1|
สัจธรรม	s-a-t^-1|c-a-z^-1|th-a-m^-0|
สัญจร	s-a-n^-4|c-@@-n^-0|
สัญชาตญาณ	s-a-n^-4|ch-aa-t^-2|t-a-z^-1|j-aa-n^-0|
สัญญา	s-a-n^-4|j-aa-z^-0|
สัญลักษณ์	s-a-n^-4|j-a-z^-3|l-a-k^-3|
สัณฐาน	s-a-n^-4|th-aa-n^-4|
สัดส่วน	s-a-t^-1|s-uua-n^-1|
สัตย์	s-a-t^-1|
สัตว์	s-a-t^-1|
สัตว์น้ำ	s-a-t^-1|n-aa-m^-3|
สัตว์ป่า	s-a-t^-1|p-aa-z^-1|
สันดาน	s-a-n^-4|d-aa-n^-0|
สันติ	s-a-n^-4|t-i-z^-1|
สันติภาพ	s-a-n^-4|t-i-z^-1|ph-aa-p^-2|
สันนิษฐาน	s-a-n^-4|n-i-t^-3|th-aa-n^-4|
สันสกฤต	s-a-n^-4|s-a-z^-1|kr-i-t^-1|
สันโดษ	s-a-n^-4|d-oo-t^-1|
สับสน	s-a-p^-1|s-o-n^-4|
สัปดาห์	s-a-p^-1|d-aa-z^-0|
สัมปทาน	s-a-m^-4|p-a-z^-1|th-aa-n^-0|
สัมผัส	s-a-m^-4|ph-a-t^-1|
สัมพันธภาพ	s-a-m^-4|ph-a-n^-0|th-a-z^-3|ph-aa-p^-2|
สัมพันธมิตร	s-a-m^-4|ph-a-n^-0|th-a-z^-3|m-i-t^-3|
สัมพันธ์	s-a-m^-4|ph-a-n^-0|
สัมภาษณ์	s-a-m^-4|ph-aa-t^-2|
สัมมนา	s-a-m^-4|m-a-z^-3|n-aa-z^-0|
สัมมา	s-a-m^-4|m-aa-z^-0|
สัมฤทธิผล	s-a-m^-4|r-i-t^-3|ph-o-n^-4|
สัมฤทธิ์	s-a-m^-4|r-i-t^-3|
สัมโพธิญาณ	s-a-m^-4|ph-oo-z^-0|th-i-z^-3|j-aa-n^-0|
สั่ง	s-a-ng^-1|
สั่งสม	s-a-ng^-1|s-o-m^-4|
สั่งสอน	s-a-ng^-1|s-@@-n^-4|
สั่น	s-a-n^-1|
สั้น	s-a-n^-2|
สาก	s-aa-k^-1|
สากล	s-aa-z^-4|k-o-n^-0|
สาขา	s-aa-z^-4|kh-aa-z^-4|
สาด	s-aa-t^-1|
สาธารณชน	s-aa-z^-4|th-aa-z^-0|r-a-z^-3|n-a-z^-3|ch-o-n^-0|
สาธารณประโยชน์	s-aa-z^-4|th-aa-z^-0|r-a-z^-3|n-a-z^-3|pr-a-z^-1|j-oo-t^-1|
สาธารณรัฐ	s-aa-z^-4|th-aa-z^-0|r-a-z^-3|n-a-z^-3|r-a-t^-3|
สาธารณสุข	s-aa-z^-4|th-aa-z^-0|r-a-z^-3|n-a-z^-3|s-u-k^-1|
สาธารณะ	s-aa-z^-4|th-aa-z^-0|r-a-z^-3|n-a-z^-3|
สาธารณูปโภค	s-aa-z^-4|th-aa-z^-0|r-a-z^-3|n-uu-z^-0|p-a-z^-1|ph-oo-k^-2|
สาม	s-aa-m^-4|
สามนต์	s-aa-z^-4|m-o-n^-0|
สามัคคี	s-aa-z^-4|m-a-k^-3|kh-ii-z^-0|
สามัญ	s-aa-z^-4|m-a-n^-0|
สามัญชน	s-aa-z^-4|m-a-n^-0|ch-o-n^-0|
สามารถ	s-aa-z^-4|m-aa-t^-2|
สามี	s-aa-z^-4|m-ii-z^-0|
สามเณร	s-aa-m^-4|m-a-z^-3|n-ee-n^-0|
สาย	s-aa-j^-4|
สายตา	s-aa-j^-4|t-aa-z^-0|
สายลม	s-aa-j^-4|l-o-m^-0|
สาร	s-aa-n^-4|
สารคดี	s-aa-z^-4|r-a-z^-3|kh-a-z^-3|d-ii-z^-0|
สารพิษ	s-aa-n^-4|ph-i-t^-3|
สารวัตร	s-aa-z^-4|r-a-z^-3|w-a-t^-3|
สารสนเทศ	s-aa-z^-4|r-a-z^-3|s-o-n^-4|th-ee-t^-2|
สาระ	s-aa-z^-4|r-a-z^-3|
สารเคมี	s-aa-n^-4|kh-ee-z^-0|m-ii-z^-0|
สาว	s-aa-w^-4|
สาวก	s-aa-z^-4|w-o-k^-3|
สาหัส	s-aa-z^-4|h-a-t^-1|
สาเหตุ	s-aa-z^-4|h-ee-t^-1|
สำคัญ	s-a-m^-4|kh-a-n^-0|
สำนวน	s-a-m^-4|n-uua-n^-0|
สำนัก	s-a-m^-4|n-a-k^-3|
สำนักงาน	s-a-m^-4|n-a-k^-3|ng-aa-n^-0|
สำนักพิมพ์	s-a-m^-4|n-a-k^-3|ph-i-m^-0|
สำนึก	s-a-m^-4|n-v-k^-3|
สำรวจ	s-a-m^-4|r-uua-t^-1|
สำราญ	s-a-m^-4|r-aa-n^-0|
สำริด	s-a-m^-4|r-i-t^-3|
สำหรับ	s-a-m^-4|r-a-p^-1|
สำเริง	s-a-m^-4|r-qq-ng^-0|
สำเร็จ	s-a-m^-4|r-e-t^-1|
สำเร็จรูป	s-a-m^-4|r-e-t^-1|r-uu-p^-2|
สำแดง	s-a-m^-4|d-xx-ng^-0|
สิ	s-i-z^-1|
สิงหาคม	s-i-ng^-4|h-aa-z^-4|kh-o-m^-0|
สิงห์	s-i-ng^-4|
สิทธิ	s-i-t^-1|
สิทธิ	s-i-t^-1|th-i-z^-3|
สิทธิ์	s-i-t^-1|
สิทธิ์ขาด	s-i-t^-1|kh-aa-t^-1|
สินค้า	s-i-n^-4|kh-aa-z^-3|
สินทรัพย์	s-i-n^-4|s-a-p^-3|
สินเชื่อ	s-i-n^-4|ch-vva-z^-2|
สิบ	s-i-p^-1|
สิริกิติ์	s-i-z^-1|r-i-z^-1|k-i-t^-1|
สิริสัมพันธ์	s-i-z^-1|r-i-z^-1|s-a-m^-4|ph-a-n^-0|
สิ่ง	s-i-ng^-1|
สิ่งของ	s-i-ng^-1|kh-@@-ng^-4|
สิ่งทอ	s-i-ng^-1|th-@@-z^-0|
สิ่งมีชีวิต	s-i-ng^-1|m-ii-z^-0|ch-ii-z^-0|w-i-t^-3|
สิ่งแวดล้อม	s-i-ng^-1|w-xx-t^-2|l-@@-m^-3|
สิ่งใด	s-i-ng^-1|d-a-j^-0|
สิ้น	s-i-n^-2|
สิ้นสุด	s-i-n^-2|s-u-t^-1|
สิ้นหวัง	s-i-n^-2|w-a-ng^-4|
สิ้นเชิง	s-i-n^-2|ch-qq-ng^-0|
สิ้นเนื้อประดาตัว	s-i-n^-2|n-vva-z^-3|pr-a-z^-1|d-aa-z^-0|t-uua-z^-0|
สิ้นเปลือง	s-i-n^-2|pl-vva-ng^-0|
สิ้นใจ	s-i-n^-2|c-a-j^-0|
สี	s-ii-z^-4|
สี่	s-ii-z^-1|
สี่เหลี่ยม	s-ii-z^-1|l-iia-m^-1|
สึก	s-v-k^-1|
สืบ	s-vv-p^-1|
สืบต่อ	s-vv-p^-1|t-@@-z^-1|
สืบทอด	s-vv-p^-1|th-@@-t^-2|
สืบพันธุ์	s-vv-p^-1|ph-a-n^-0|
สืบสวน	s-vv-p^-1|s-uua-n^-4|
สืบเนื่อง	s-vv-p^-1|n-vva-ng^-2|
สื่อ	s-vv-z^-1|
สื่อกลาง	s-vv-z^-1|kl-aa-ng^-0|
สื่อมวลชน	s-vv-z^-1|m-uua-n^-0|ch-o-n^-0|
สื่อสาร	s-vv-z^-1|s-aa-n^-4|
สุกเอาเผากิน	s-u-k^-1|z-a-w^-0|ph-a-w^-4|k-i-n^-0|
สุข	s-u-k^-1|
สุขภาพ	s-u-k^-1|kh-a-z^-1|ph-aa-p^-2|
สุขภาพจิต	s-u-k^-1|kh-a-z^-1|ph-aa-p^-2|c-i-t^-1|
สุขศึกษา	s-u-k^-1|kh-a-z^-1|s-v-k^-1|s-aa-z^-4|
สุขสบาย	s-u-k^-1|s-a-z^-1|b-aa-j^-0|
สุขเวทนา	s-u-k^-1|kh-a-z^-1|w-ee-z^-0|th-a-z^-3|n-aa-z^-0|
สุขใจ	s-u-k^-1|c-a-j^-0|
สุคนธ์	s-u-z^-1|kh-o-n^-0|
สุจริต	s-u-t^-1|c-a-z^-1|r-i-t^-1|
สุจินดา	s-u-z^-1|c-i-n^-0|d-aa-z^-0|
สุด	s-u-t^-1|
สุดขีด	s-u-t^-1|kh-ii-t^-1|
สุดท้อง	s-u-t^-1|th-@@-ng^-3|
สุดท้าย	s-u-t^-1|th-aa-j^-3|
สุดยอด	s-u-t^-1|j-@@-t^-2|
สุดวิสัย	s-u-t^-1|w-i-z^-3|s-a-j^-4|
สุธี	s-u-z^-1|th-ii-z^-0|
สุนทร	s-u-n^-4|th-@@-n^-0|
สุนทรภู่	s-u-n^-4|th-@@-n^-0|ph-uu-z^-2|
สุนทราภรณ์	s-u-n^-4|th-a-z^-3|r-aa-z^-0|ph-@@-n^-0|
สุนทรียภาพ	s-u-n^-4|th-a-z^-3|r-ii-z^-0|j-a-z^-3|ph-aa-p^-2|
สุนทรเวช	s-u-n^-4|th-@@-z^-0|r-a-z^-3|w-ee-t^-2|
สุนัข	s-u-z^-1|n-a-k^-3|
สุนีย์	s-u-z^-1|n-ii-z^-0|
สุพรรณ	s-u-z^-1|ph-a-n^-0|
สุภาพ	s-u-z^-1|ph-aa-p^-2|
สุรา	s-u-z^-1|r-aa-z^-0|
สุเทพ	s-u-z^-1|th-ee-p^-2|
สุโขทัย	s-u-z^-1|kh-oo-z^-4|th-a-j^-0|
สุ่ม	s-u-m^-1|
สูง	s-uu-ng^-4|
สูงสุด	s-uu-ng^-4|s-u-t^-1|
สูงส่ง	s-uu-ng^-4|s-o-ng^-1|
สูงอายุ	s-uu-ng^-4|z-aa-z^-0|j-u-z^-3|
สูญ	s-uu-n^-4|
สูญพันธุ์	s-uu-n^-4|ph-a-n^-0|
สูญหาย	s-uu-n^-4|h-aa-j^-4|
สูญเปล่า	s-uu-n^-4|pl-aa-w^-1|
สูญเสีย	s-uu-n^-4|s-iia-z^-4|
สูบ	s-uu-p^-1|
สู่	s-uu-z^-1|
สู้	s-uu-z^-2|
สเมอร์ดิยาคอฟ	s-a-z^-1|m-qq-z^-0|d-i-z^-1|j-aa-z^-0|kh-@@-p^-3|
สโมสร	s-a-z^-1|m-oo-z^-0|s-@@-n^-4|
ส่ง	s-o-ng^-1|
ส่งออก	s-o-ng^-1|z-@@-k^-1|
ส่งเสริม	s-o-ng^-1|s-qq-m^-4|
ส่งเสีย	s-o-ng^-1|s-iia-z^-4|
ส่วน	s-uua-n^-1|
ส่วนกลาง	s-uua-n^-1|kl-aa-ng^-0|
ส่วนช่วย	s-uua-n^-1|ch-uua-j^-2|
ส่วนตัว	s-uua-n^-1|t-uua-z^-0|
ส่วนน้อย	s-uua-n^-1|n-@@-j^-3|
ส่วนประกอบ	s-uua-n^-1|pr-a-z^-1|k-@@-p^-1|
ส่วนมาก	s-uua-n^-1|m-aa-k^-2|
ส่วนย่อย	s-uua-n^-1|j-@-j^-2|
ส่วนรวม	s-uua-n^-1|r-uua-m^-0|
ส่วนร่วม	s-uua-n^-1|r-uua-m^-2|
ส่วนหนึ่ง	s-uua-n^-1|n-v-ng^-1|
ส่วนเสีย	s-uua-n^-1|s-iia-z^-4|
ส่วนใหญ่	s-uua-n^-1|j-a-j^-1|
ส่วนได้	s-uua-n^-1|d-aa-j^-2|
ส่วย	s-uua-j^-1|
ส่อ	s-@@-z^-1|
ส่อง	s-@-ng^-1|
หก	h-o-k^-1|
หงุดหงิด	ng-u-t^-1|ng-i-t^-1|
หญิง	j-i-ng^-4|
หดหาย	h-o-t^-1|h-aa-j^-4|
หน	h-o-n^-4|
หนทาง	h-o-n^-4|th-aa-ng^-0|
หนอง	n-@@-ng^-4|
หนัก	n-a-k^-1|
หนักหน่วง	n-a-k^-1|n-uua-ng^-1|
หนักใจ	n-a-k^-1|c-a-j^-0|
หนัง	n-a-ng^-4|
หนังสือ	n-a-ng^-4|s-vv-z^-4|
หนังสือพิมพ์	n-a-ng^-4|s-vv-z^-4|ph-i-m^-0|
หนาม	n-aa-m^-4|
หนาว	n-aa-w^-4|
หนาแน่น	n-aa-z^-4|n-x-n^-2|
หนี	n-ii-z^-4|
หนี้	n-ii-z^-2|
หนึ่ง	n-v-ng^-1|
หนุน	n-u-n^-4|
หนุ่ม	n-u-m^-1|
หนู	n-uu-z^-4|
หน่วย	n-uua-j^-1|
หน่วยงาน	n-uua-j^-1|ng-aa-n^-0|
หน่อย	n-@-j^-1|
หน้า	n-aa-z^-2|
หน้าตา	n-aa-z^-2|t-aa-z^-0|
หน้าที่	n-aa-z^-2|th-ii-z^-2|
หน้ามืด	n-aa-z^-2|m-vv-t^-2|
หน้าไหว้หลังหลอก	n-aa-z^-2|w-a-j^-2|l-a-ng^-4|l-@@-k^-1|
หมด	m-o-t^-1|
หมวด	m-uua-t^-1|
หมอ	m-@@-z^-4|
หมอนวด	m-@@-z^-4|n-uua-t^-2|
หมัก	m-a-k^-1|
หมัน	m-a-n^-4|
หมา	m-aa-z^-4|
หมาด	m-aa-t^-1|
หมาย	m-aa-j^-4|
หมายความ	m-aa-j^-4|khw-aa-m^-0|
หมายจับ	m-aa-j^-4|c-a-p^-1|
หมายถึง	m-aa-j^-4|th-v-ng^-4|
หมายเลข	m-aa-j^-4|l-ee-k^-2|
หมื่น	m-vv-n^-1|
หมุน	m-u-n^-4|
หมุนเวียน	m-u-n^-4|w-iia-n^-0|
หมู	m-uu-z^-4|
หมู่	m-uu-z^-1|
หมู่บ้าน	m-uu-z^-1|b-aa-n^-2|
หมู่เกาะ	m-uu-z^-1|k-@-z^-1|
หม่อมราชวงศ์	m-@-m^-1|r-aa-t^-2|ch-a-z^-3|w-o-ng^-0|
หม้อ	m-@@-z^-2|
หยั่งเสียง	j-a-ng^-1|s-iia-ng^-4|
หยิบ	j-i-p^-1|
หยิบยก	j-i-p^-1|j-o-k^-3|
หยิ่ง	j-i-ng^-1|
หยุด	j-u-t^-1|
หยุดนิ่ง	j-u-t^-1|n-i-ng^-2|
หยุดยั้ง	j-u-t^-1|j-a-ng^-3|
หย่อน	j-@-n^-1|
หย่อนยาน	j-@-n^-1|j-aa-n^-0|
หย่อนใจ	j-@-n^-1|c-a-j^-0|
หย่า	j-aa-z^-1|
หย่าร้าง	j-aa-z^-1|r-aa-ng^-3|
หรอก	r-@@-k^-1|
หรือ	r-vv-z^-4|
หรือยัง	r-vv-z^-4|j-a-ng^-0|
หรือเปล่า	r-vv-z^-4|pl-aa-w^-1|
หรูหรา	r-uu-z^-4|r-aa-z^-4|
หลง	l-o-ng^-4|
หลงเหลือ	l-o-ng^-4|l-vva-z^-4|
หลบ	l-o-p^-1|
หลบหนี	l-o-p^-1|n-ii-z^-4|
หลบหลีก	l-o-p^-1|l-ii-k^-1|
หลวง	l-uua-ng^-4|
หลวม	l-uua-m^-4|
หลอก	l-@@-k^-1|
หลอกลวง	l-@@-k^-1|l-uua-ng^-0|
หลอม	l-@@-m^-4|
หลัก	l-a-k^-1|
หลักการ	l-a-k^-1|k-aa-n^-0|
หลักฐาน	l-a-k^-1|th-aa-n^-4|
